,Tissue,Title,Article,Data,Meta_data,Disease,Technology,N_cells,N_sampels
0,head-and-neck,Chen et al. 2020,https://www.nature.com/articles/s41422-020-0374-x,https://www.dropbox.com/sh/9aezfyi67u1quf2/AACMVfmzDVX-OyqSp4U3_l6ia?dl=1,https://www.dropbox.com/scl/fi/yezd3kpbwrx8v6oedx31t/Meta-data_Chen2020_Head-and-Neck.csv?rlkey=m3j4oc4vt3u0jybfh0fc7vl82&dl=1,Nasopharyngeal carcinoma,10x,71896.0,14.0
1,head-and-neck,Cillo et al. 2020,https://www.sciencedirect.com/science/article/pii/S1074761319304959,https://www.dropbox.com/sh/oj597z3szln7w3f/AAAZmhWKXAD4wGJ3LWEpbYVoa?dl=1,https://www.dropbox.com/scl/fi/sltseby5sk5veuwvtrnkm/Meta-data_Cillo2020_Head-and-Neck.csv?rlkey=09vl821rtbnmf34r52db6pogi&dl=1,HNSCC,10x,92569.0,48.0
2,head-and-neck,KÃ¼rten et al. 2021,https://www.nature.com/articles/s41467-021-27619-4,https://www.dropbox.com/sh/joxorlh80a9pv9e/AABNf1vJYgpbamWds69xLSZWa?dl=1,https://www.dropbox.com/scl/fi/fneslxg2wk7f220romjci/Meta-data_K-rten2021_Head-and-Neck.csv?rlkey=ite5aq7eh0iy4189pz2xyd7q4&dl=1,HNSCC,10x,62700.0,33.0
3,head-and-neck,Puram et al. 2017,https://www.sciencedirect.com/science/article/pii/S0092867417312709,https://www.dropbox.com/sh/5om04jwfc5jjy4w/AACI8RnGKGjJFutgS54Qk1jea?dl=1,https://www.dropbox.com/scl/fi/kdm9uuvgy5cl25d56n2z7/Meta-data_Puram2017_Head-and-Neck.csv?rlkey=u7mq5jy949cuwwk7si6a4eje3&dl=1,HNSCC,SmartSeq2,5902.0,18.0
4,lung,Bischoff et al. 2021,https://www.nature.com/articles/s41388-021-02054-3,https://www.dropbox.com/sh/oa9fiez1dgts4c1/AACgyklKuUBPIGMyBUEFxZJga?dl=1,https://www.dropbox.com/scl/fi/6bzuhhml1watvrb6hi0p7/Meta-data_Bischoff2021_Lung.csv?rlkey=0q5cs996swl4sgz56rkh1lpbk&dl=1,Lung adenocarcinoma,10x,120961.0,20.0
5,lung,Chan et al. 2021,https://www.cell.com/cancer-cell/fulltext/S1535-6108(21)00497-9,https://www.dropbox.com/sh/81uz1hlrv4jhpgk/AAAoe6St1_YPhV3HdGk3BS_Aa?dl=1,https://www.dropbox.com/scl/fi/nhenfikoem05b15bqt005/Meta-data_Chan2021_Lung.csv?rlkey=ecqjlxzhngamyko3urapd5fdo&dl=1,"SCLC, Lung Adenocarcinoma",10x,86662.0,37.0
6,lung,Guo et al. 2018,https://www.nature.com/articles/s41591-018-0045-3,https://www.dropbox.com/sh/agqwrn8n4jeeyb3/AABUCIleQPkVBXogpfGffZ3ea?dl=1,https://www.dropbox.com/scl/fi/ic5hzymyr3safsbe5ishx/Meta-data_Guo2018_Lung.csv?rlkey=frgf0avononl6lgjdfpy9qwf5&dl=1,NSCLC,SmartSeq2,12344.0,40.0
7,lung,Ireland et al. 2020,https://www.sciencedirect.com/science/article/pii/S153561082030218X,https://www.dropbox.com/sh/ma3xg042vxuu5h2/AABM5qlyQ6UCF6CfQo4A1X-la?dl=1,https://www.dropbox.com/scl/fi/fbiak241vs1ejsdq8gi0r/Meta-data_Ireland2020_Lung.csv?rlkey=q5j6c7qrdp80l51raykcq7vqd&dl=1,SCLC,10x,31258.0,12.0
8,lung,Kim et al. 2020,https://www.nature.com/articles/s41467-020-16164-1,https://www.dropbox.com/sh/97paub4mfkcviz1/AADXOe8pWbvlolETToAte3GYa?dl=1,https://www.dropbox.com/scl/fi/x7sbrhizwx3psdatxtgba/Meta-data_Kim2020_Lung.csv?rlkey=51htgx5nhgwoewdi8edvmriwx&dl=1,Lung adenocarcinoma,10x,32493.0,14.0
9,lung,Laughney et al. 2020,https://www.nature.com/articles/s41591-019-0750-6,https://www.dropbox.com/sh/brhl99vockjblt9/AABhvs2J8ZZDPpDh_tTtNaaRa?dl=1,https://www.dropbox.com/scl/fi/8a5pt0nk0ftdn4dedaokp/Meta-data_Laughney2020_Lung.csv?rlkey=1eg1cyo84pks08eh7us80psdc&dl=1,Lung cancer,10x,40505.0,17.0
10,lung,Maynard et al. 2020,https://www.sciencedirect.com/science/article/pii/S0092867420308825,https://www.dropbox.com/sh/zswcwocr779yqpy/AAAGQrC2veR1NUHuGIHzsl4Fa?dl=1,https://www.dropbox.com/scl/fi/jhdq0zabykalmk7t2btw2/Meta-data_Maynard2020_Lung.csv?rlkey=hsnad6ptg2tnezgmd0jtooh01&dl=1,Lung cancer,SmartSeq2,19777.0,50.0
11,lung,Qian et al. 2020,https://www.nature.com/articles/s41422-020-0355-0,https://www.dropbox.com/sh/8w0po62qn8zhch6/AAADNFQBTqA9DWdYpjzl6a0ja?dl=1,https://www.dropbox.com/scl/fi/bcmebt93xuj1483zztgx9/Meta-data_Qian2020_Lung.csv?rlkey=n79dopxmzh022pcybdb3vr37k&dl=1,Lung cancer,10x,27262.0,8.0
12,lung,Song et al. 2019,https://onlinelibrary.wiley.com/doi/10.1002/cam4.2113,https://www.dropbox.com/sh/35qtcc8ez342ciz/AADfE_vNRhxr6_r9kRjiYGqha?dl=1,https://www.dropbox.com/scl/fi/k42lof0xuhnkkihbj0uvb/Meta-data_Song2019_Lung.csv?rlkey=s6fkl6nyhc3e4loe80aoqj3e7&dl=1,NSCLC,10x,11453.0,8.0
13,lung,Xing et al. 2021,https://advances.sciencemag.org/content/7/5/eabd9738,https://www.dropbox.com/sh/tc97x7pasor3o9j/AAARVhu755DFNfhzLVNYsS42a?dl=1,https://www.dropbox.com/scl/fi/ouuu2f6dubtkdk3pk6yjf/Meta-data_Xing2021_Lung.csv?rlkey=vviedvwgglkfwp67fzw65cn3r&dl=1,Lung cancer,10x,118293.0,31.0
14,lung,Zilionis et al. 2019,https://www.sciencedirect.com/science/article/pii/S1074761319301268,https://www.dropbox.com/sh/o94trx60jhr24o5/AADmi74D-RMavk21j-3jAFCLa?dl=1,https://www.dropbox.com/scl/fi/38x0i90tw9be9oldguwhv/Meta-data_Zilionis2019_Lung.csv?rlkey=ugml55ttrsi2hkzxu3sje84r3&dl=1,NSCLC,inDrop,31179.0,7.0
15,liverbiliary,Ma et al. 2019,http://www.sciencedirect.com/science/article/pii/S1535610819303757,https://www.dropbox.com/sh/ixc2yusinnmfbfj/AADSbyAWydDRRGr_-uj9zO59a?dl=1,https://www.dropbox.com/scl/fi/6dzfu3gk25hvlwjx1lepf/Meta-data_Ma2019_Liver-Biliary.csv?rlkey=u0cgonp763kozzblv0v9r6ok8&dl=1,HCC/iCCA,10x,3018.0,8.0
16,liverbiliary,Sharma et al. 2020,https://www.sciencedirect.com/science/article/pii/S0092867420310825,https://www.dropbox.com/sh/the837sl0f2qvqt/AADgYjXHBBC3ef7C8YlnFFiza?dl=1,https://www.dropbox.com/scl/fi/g5i90f680hgpueriy0vnl/Meta-data_Sharma2020_Liver-Biliary.csv?rlkey=8dwhkxc4s72ssz6eewlqq116x&dl=1,HCC,10x,73589.0,58.0
17,liverbiliary,Sun et al. 2021,https://www.sciencedirect.com/science/article/pii/S0092867420316135,https://www.dropbox.com/sh/9f7n9vwijax1qex/AACvEOfv15uUyWBOg4nXBUO7a?dl=1,https://www.dropbox.com/scl/fi/pmvei1d2tyww765s1zrz1/Meta-data_Sun2021_Liver-Biliary.csv?rlkey=wa5iove8b7amubc5wc0ioilvo&dl=1,HCC,10x,16498.0,18.0
18,liverbiliary,Zhang et al. 2019,https://www.sciencedirect.com/science/article/pii/S0092867419311195,https://www.dropbox.com/sh/ajxrze7aj7wbrm2/AADGe_SuTbYafruu1cGQizw4a?dl=1,https://www.dropbox.com/scl/fi/rqxighc2qxi8ici7giako/Meta-data_Zhang2019_Liver-Biliary.csv?rlkey=5cqg7e82k4fbbrddsd4ydvpqx&dl=1,HCC,"10x, SmartSeq2",68764.0,56.0
19,liverbiliary,Zheng et al. 2017,https://www.sciencedirect.com/science/article/pii/S0092867417305962,https://www.dropbox.com/sh/ifdk3suf0sd3pfi/AACD-d1JKCNmVboZdSI-Y_EZa?dl=1,https://www.dropbox.com/scl/fi/ka5o1evlyctcsq3brzpb2/Meta-data_Zheng2017_Liver-Biliary.csv?rlkey=mwoy0dcqh5vw6fvh636dqxvjd&dl=1,HCC,10x,5059.0,6.0
20,kidney,Bi et al. 2021,https://www.sciencedirect.com/science/article/pii/S1535610821001173,https://www.dropbox.com/sh/ra1pr0q1kfemu01/AAAm2KmDMpYgOzC9IrohzaGua?dl=1,https://www.dropbox.com/scl/fi/qgvd4rlz4qgryqkbekuej/Meta-data_Bi2021_Kidney.csv?rlkey=thhfqtnx31sj4y2lokflypc5r&dl=1,RCC,10x,34326.0,8.0
21,kidney,Krishna et al. 2021,https://www.sciencedirect.com/science/article/pii/S1535610821001653,https://www.dropbox.com/sh/jb0krf5qen7u4ew/AABKXryiCGolAXpvHW_2-zRwa?dl=1,https://www.dropbox.com/scl/fi/cnsr4mhoidb1lug9e1xkt/Meta-data_Krishna2021_Kidney.csv?rlkey=634np49mq5wzoqjhchuvl92pe&dl=1,RCC,10x,167283.0,29.0
22,kidney,Obradovic et al. 2021,https://www.sciencedirect.com/science/article/pii/S0092867421005730,https://www.dropbox.com/sh/6orj3hs39q7w1ek/AAD5VCNCmmd_eHGyMwIcQpKLa?dl=1,https://www.dropbox.com/scl/fi/84b782ocyuncen71grsjz/Meta-data_Obradovic2021_Kidney.csv?rlkey=u2wrldo54uq5n0nzb5es7mn7l&dl=1,RCC,10x,19781.0,8.0
23,kidney,Young et al. 2018,https://science.sciencemag.org/content/361/6402/594,https://www.dropbox.com/sh/xdljzs13dutpiyj/AACPO69bAqnPHdWZ1s4waUGxa?dl=1,https://www.dropbox.com/scl/fi/kzc9l9t7dx9jkjy20u66q/Meta-data_Young2018_Kidney.csv?rlkey=xrzxbj5q6x5vfa26r7kpysnek&dl=1,"Wilms tumor, ccRCC, papillary RCC",10x,125139.0,66.0
24,kidney,Zhang et al. 2021,https://www.pnas.org/content/118/24/e2103240118,https://www.dropbox.com/sh/l24b2tojet3rg4m/AAC7Nr6szNnbkyRsqws7kL-Ya?dl=1,https://www.dropbox.com/scl/fi/4m08tta6i8m53ocjkpdy3/Meta-data_Zhang2021_Kidney.csv?rlkey=ncpavehqzp1w4s09jtjwo5iar&dl=1,RCC,10x,29474.0,14.0
25,prostate,Chen et al. 2021,https://www.nature.com/articles/s41556-020-00613-6,https://www.dropbox.com/sh/gcbvhz5y2tzm7zj/AACkKvT8qcF9PD4K_x4HzaHYa?dl=1,https://www.dropbox.com/scl/fi/znc8fjmre1agm9hd6gzbn/Meta-data_Chen2021_Prostate.csv?rlkey=srebcljfjxultyn6jaovscvk2&dl=1,Prostate cancer,10x,36424.0,13.0
26,prostate,Dong et al. 2020,https://www.nature.com/articles/s42003-020-01476-1,https://www.dropbox.com/sh/kjzil5p1ezdxlhv/AABnRMKJ0nMHG1xcbe9GPdc3a?dl=1,https://www.dropbox.com/scl/fi/hhmsbllg9u8kns5v5kzq2/Meta-data_Dong2020_Prostate.csv?rlkey=g1xfslirmg444k3xtfxuyth5s&dl=1,Prostate cancer,10x,21292.0,6.0
27,prostate,He et al. 2021,https://www.nature.com/articles/s41591-021-01244-6,https://www.dropbox.com/sh/ngijs4f5a86uodu/AADDhXezzhG9Mb9R6zsorKhda?dl=1,https://www.dropbox.com/scl/fi/0m5awtiy72szqbou30jc5/Meta-data_He2021_Prostate.csv?rlkey=h3uvynandwhwhtqbqxrt2ho1e&dl=1,Metastatic prostate cancer,SmartSeq2,2170.0,15.0
28,prostate,Song et al. 2022,https://www.nature.com/articles/s41467-021-27322-4,https://www.dropbox.com/sh/r182qwk31j517dk/AAA9J5eqe0-mC2MhG2kNoeODa?dl=1,https://www.dropbox.com/scl/fi/6tvu1esc93s1rcmel0lth/Meta-data_Song2022_Prostate.csv?rlkey=x1xq0cm5whe3p6nj7o3q4ze97&dl=1,Prostate cancer,Seq-Well S3,21743.0,15.0
29,sarcoma,Jerby-Arnon et al. 2021,https://www.nature.com/articles/s41591-020-01212-6,https://www.dropbox.com/sh/45tbe2g69ly9akx/AABVZJnkcpNIOYpt9KcHRrZCa?dl=1,https://www.dropbox.com/scl/fi/s29icu1s1kmlcfmwhanmo/Meta-data_Jerby-Arnon2021_Sarcoma.csv?rlkey=jx1poca0yse2s51h813e5b7j9&dl=1,Synovial sarcoma,"10x, SmartSeq2",16125.0,15.0
30,sarcoma,Zhou et al. 2020,https://www.nature.com/articles/s41467-020-20059-6,https://www.dropbox.com/sh/x4ryjt5wpyca186/AADDEHP8x99NrtoMDq5tOAS_a?dl=1,https://www.dropbox.com/scl/fi/s7p29ide1xc6hqnqsvxwu/Meta-data_Zhou2020_Sarcoma.csv?rlkey=8vx9zw1konckcnjkqhdl250fj&dl=1,Osteosarcoma,10x,64557.0,11.0
31,othermodels,Aynaud et al. 2020,https://www.sciencedirect.com/science/article/pii/S2211124720300747,https://www.dropbox.com/sh/mxrcqc0rxm6omdx/AAB5sQu31hh9i31BtqSAPjbTa?dl=1,https://www.dropbox.com/scl/fi/5bsl56fghikdm8ldc7df9/Meta-data_Aynaud2020_Other-Models.csv?rlkey=ztjfc9gagfs1l9cnu0zqtnw62&dl=1,Ewing sarcoma,"10x, Fluidigm C1",16337.0,14.0
32,othermodels,Cui et al. 2021,https://academic.oup.com/neuro-oncology/advance-article/doi/10.1093/neuonc/noab102/6256973,https://www.dropbox.com/sh/nnngfq0zhitzg5k/AACvv4QrdxeXL5yHsqJG9c0Qa?dl=1,https://www.dropbox.com/scl/fi/03m8nktri2yk7100dxtef/Meta-data_Cui2021_Other-Models.csv?rlkey=lkz0lym4v96spn7s9ua2on5x3&dl=1,Pituitary neuroendocrine tumors,STRT seq,2679.0,23.0
33,othermodels,Dost et al. 2020,https://www.sciencedirect.com/science/article/pii/S193459092030360X,https://www.dropbox.com/sh/0ydy36jsgm2l2ns/AAAfOLUuFkg35C6IAAhrEql9a?dl=1,https://www.dropbox.com/scl/fi/4fp4lfo2b64fwwghascfp/Meta-data_Dost2020_Other-Models.csv?rlkey=k3ntldflx3q6c1hd7pjqltfc6&dl=1,Lung cancer,10x,32661.0,10.0
34,othermodels,Durante et al. 2020,https://www.nature.com/articles/s41467-019-14256-1,https://www.dropbox.com/sh/9lt338a8hpcmhqj/AABze_MT3CojdJnybae1hSuZa?dl=1,https://www.dropbox.com/scl/fi/gx8xpob282hhuf3zny11r/Meta-data_Durante2020_Other-Models.csv?rlkey=7nwrbxhtoxhzih0e47qxcatdl&dl=1,Uveal melanoma,10x,103703.0,11.0
35,othermodels,Ebinger et al. 2016,https://www.sciencedirect.com/science/article/pii/S1535610816305086,https://www.dropbox.com/sh/bh7jvxh384aedr3/AACyXS0IfEcRVOFfCiTEC0r5a?dl=1,https://www.dropbox.com/scl/fi/wsxfxei6zn1jpjtop69rh/Meta-data_Ebinger2016_Other-Models.csv?rlkey=u71gsbb0uma1wqkgn5p8felmm&dl=1,ALL,SMARTer,185.0,5.0
36,othermodels,Franses et al. 2017,https://theoncologist.onlinelibrary.wiley.com/doi/full/10.1634/theoncologist.2017-0234,https://www.dropbox.com/sh/l7k493jso22g1xy/AABfEFCBAxy3NwquMILXtKh9a?dl=1,https://www.dropbox.com/scl/fi/vuqmp8lvtir49duuai7as/Meta-data_Franses2017_Other-Models.csv?rlkey=kkg5hwetfbedb74na3n2l04wr&dl=1,IPMN/PDAC,,34.0,3.0
37,othermodels,Franses et al. 2020,https://www.nature.com/articles/s41467-020-17150-3,https://www.dropbox.com/sh/sn9bu19pgvrnmoc/AAA2iV__nTHF-eKYuI2PMlF_a?dl=1,https://www.dropbox.com/scl/fi/zkwkalbsmj8os4z3aytpu/Meta-data_Franses2020_Other-Models.csv?rlkey=u6rr5nel43weenf6gyzniowzk&dl=1,PDAC,10x,81.0,4.0
38,othermodels,Gonzalez et al. 2022,https://www.sciencedirect.com/science/article/abs/pii/S0092867421015658,https://www.dropbox.com/sh/x18p7yl80aej78e/AAD4y8UzY6K_5P5lhd8RrveTa?dl=1,https://www.dropbox.com/scl/fi/rzrt6xzi3ix4hychewlgy/Meta-data_Gonzalez2022_Other-Models.csv?rlkey=2irsjd92pnree1d91c9w9gwbn&dl=1,Brain metastases,10x,99150.0,15.0
40,othermodels,Hollern et al. 2019,https://www.sciencedirect.com/science/article/pii/S009286741931178X,https://www.dropbox.com/sh/19lumg73y5pqqqj/AAD-2bMO9CzjAibgovHmakRua?dl=1,https://www.dropbox.com/scl/fi/7plmowjn6ypv3h5uyyb60/Meta-data_Hollern2019_Other-Models.csv?rlkey=5qrh28uhyv3ni0v0zrkblz8xd&dl=1,TNBC,10x,27532.0,4.0
41,othermodels,Jansky et al. 2021,https://www.nature.com/articles/s41588-021-00806-1,https://www.dropbox.com/sh/t49t2dhb359d3c0/AACb6LrT8uu5bu4Jsz9HffvEa?dl=1,https://www.dropbox.com/scl/fi/fcpx3ab2uv78bav9883ov/Meta-data_Jansky2021_Other-Models.csv?rlkey=k07g44yjzjwnf2cta0nnodxjb&dl=1,Neuroblastoma,MARS-seq,4028.0,4.0
42,othermodels,Jordan et al. 2016,https://www.nature.com/articles/nature19328,https://www.dropbox.com/sh/ylab24ri113wn4a/AAAkRPh1pEEmjPyEercDYHyga?dl=1,https://www.dropbox.com/scl/fi/er49xb772mx2wjlhmwxa8/Meta-data_Jordan2016_Other-Models.csv?rlkey=kq765hw4hhg2sml3vayrjx7bo&dl=1,Breast cancer,,74.0,16.0
